127.0.0.1 - - [23/Apr/2018:08:36:15 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [23/Apr/2018:08:36:18 +0800] "GET /estore/ HTTP/1.1" 200 2865
0:0:0:0:0:0:0:1 - - [23/Apr/2018:08:36:33 +0800] "GET /estore/ HTTP/1.1" 200 2865
0:0:0:0:0:0:0:1 - - [23/Apr/2018:08:36:33 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2018:08:36:33 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2018:08:36:34 +0800] "GET /login.jsp HTTP/1.1" 404 1012
0:0:0:0:0:0:0:1 - - [23/Apr/2018:08:36:39 +0800] "GET /login.jsp HTTP/1.1" 404 1012
0:0:0:0:0:0:0:1 - - [23/Apr/2018:08:36:43 +0800] "GET /login.jsp HTTP/1.1" 404 1012
0:0:0:0:0:0:0:1 - - [23/Apr/2018:08:36:45 +0800] "GET /login.jsp HTTP/1.1" 404 1012
0:0:0:0:0:0:0:1 - - [23/Apr/2018:08:37:03 +0800] "GET /estore/ HTTP/1.1" 200 2865
0:0:0:0:0:0:0:1 - - [23/Apr/2018:08:37:06 +0800] "GET /regist.jsp HTTP/1.1" 404 1014
